StageName,Amount,CreatedDate,CloseDate,Probability,LeadSource,Product
Value Proposition,67097,2025-03-29,2025-09-09,50,LinkedIn,Commercial Property
Qualification,44835,2025-02-15,2025-04-21,20,Web,Corporate Life Insurance
Value Proposition,16717,2025-10-10,2026-04-08,50,Partner,Pension Fund Management
Prospecting,21185,2025-06-18,2025-07-31,10,Cold Call,Directors & Officers (D&O)
Proposal/Price Quote,327633,2025-06-01,2025-10-21,75,Partner,Fleet Auto Insurance
Proposal/Price Quote,17670,2025-06-01,2025-07-28,75,Web,Pension Fund Management
Qualification,75964,2025-02-08,2025-07-12,20,Partner,Fleet Auto Insurance
Needs Analysis,6729,2025-05-01,2025-09-05,30,LinkedIn,Directors & Officers (D&O)
Value Proposition,312617,2025-04-29,2025-07-08,50,Referral,Cyber Liability Insurance
Negotiation/Review,101490,2025-09-17,2025-12-14,90,Partner,Corporate Life Insurance
Value Proposition,16162,2025-01-19,2025-03-17,50,Web,Fleet Auto Insurance
Value Proposition,1077835,2025-06-12,2025-08-16,50,Trade Show,Pension Fund Management
Negotiation/Review,102439,2025-11-22,2026-04-12,90,LinkedIn,Cyber Liability Insurance
Needs Analysis,426738,2025-08-15,2026-01-31,30,LinkedIn,Pension Fund Management
Proposal/Price Quote,77145,2025-06-20,2025-09-10,75,Web,Group Health Insurance
Proposal/Price Quote,6799,2025-06-06,2025-09-22,75,Cold Call,Directors & Officers (D&O)
Value Proposition,113604,2025-01-07,2025-05-10,50,Referral,Directors & Officers (D&O)
Needs Analysis,777736,2025-03-15,2025-07-02,30,LinkedIn,Commercial Property
Needs Analysis,30424,2025-03-30,2025-09-21,30,Cold Call,Corporate Life Insurance
Needs Analysis,10653,2025-10-28,2026-03-22,30,Trade Show,Fleet Auto Insurance
Negotiation/Review,370118,2025-07-16,2026-01-03,90,Cold Call,Pension Fund Management
Prospecting,487881,2025-05-31,2025-11-01,10,Cold Call,Fleet Auto Insurance
Value Proposition,221095,2025-04-14,2025-09-11,50,Referral,Pension Fund Management
Negotiation/Review,129085,2025-06-11,2025-11-09,90,LinkedIn,Group Health Insurance
Value Proposition,182416,2025-03-10,2025-07-09,50,LinkedIn,Corporate Life Insurance
Qualification,119357,2025-06-06,2025-10-08,20,LinkedIn,Fleet Auto Insurance
Negotiation/Review,68815,2025-10-23,2025-11-30,90,LinkedIn,Directors & Officers (D&O)
Needs Analysis,305151,2025-11-14,2026-05-07,30,Trade Show,Fleet Auto Insurance
Prospecting,231203,2025-08-14,2025-11-10,10,Referral,Fleet Auto Insurance
Prospecting,8847,2025-10-19,2026-04-16,10,Web,Group Health Insurance
Proposal/Price Quote,53052,2025-06-28,2025-12-19,75,Partner,Pension Fund Management
Qualification,182092,2025-03-13,2025-07-02,20,Trade Show,Cyber Liability Insurance
Negotiation/Review,291160,2025-04-13,2025-05-18,90,Trade Show,Commercial Property
Prospecting,450664,2025-02-05,2025-05-11,10,Cold Call,Cyber Liability Insurance
Needs Analysis,40944,2025-01-23,2025-07-11,30,Cold Call,Corporate Life Insurance
Value Proposition,209302,2025-09-10,2026-01-19,50,Web,Corporate Life Insurance
Needs Analysis,8217,2025-01-05,2025-04-27,30,Cold Call,Pension Fund Management
Qualification,635477,2025-06-27,2025-09-23,20,Partner,Corporate Life Insurance
Value Proposition,175272,2025-06-25,2025-11-23,50,Trade Show,Group Health Insurance
Qualification,161006,2025-02-19,2025-07-23,20,Referral,Cyber Liability Insurance
Value Proposition,19767,2025-07-22,2026-01-02,50,LinkedIn,Directors & Officers (D&O)
Proposal/Price Quote,413910,2025-10-14,2026-03-24,75,Cold Call,Directors & Officers (D&O)
Qualification,159608,2025-04-29,2025-09-01,20,Trade Show,Commercial Property
Needs Analysis,11503,2025-10-06,2026-03-02,30,Web,Commercial Property
Proposal/Price Quote,3477698,2025-07-04,2025-12-20,75,Trade Show,Pension Fund Management
Qualification,9612,2025-09-04,2025-11-22,20,LinkedIn,Directors & Officers (D&O)
Value Proposition,754096,2025-11-23,2026-02-07,50,Trade Show,Commercial Property
Needs Analysis,49179,2025-07-19,2025-10-03,30,Referral,Corporate Life Insurance
Negotiation/Review,7899,2025-04-04,2025-07-17,90,Cold Call,Directors & Officers (D&O)
Qualification,147406,2025-08-19,2026-01-15,20,Cold Call,Pension Fund Management
Value Proposition,444374,2025-04-16,2025-08-31,50,LinkedIn,Corporate Life Insurance
Needs Analysis,174307,2025-10-05,2025-11-20,30,Web,Commercial Property
Value Proposition,97354,2025-07-09,2025-12-08,50,Web,Fleet Auto Insurance
Value Proposition,328980,2025-06-12,2025-11-17,50,Partner,Corporate Life Insurance
Value Proposition,21915,2025-04-25,2025-07-18,50,Web,Pension Fund Management
Prospecting,23012,2025-08-19,2025-12-15,10,Cold Call,Group Health Insurance
Value Proposition,11117,2025-02-01,2025-04-18,50,LinkedIn,Fleet Auto Insurance
Qualification,89067,2025-01-07,2025-04-13,20,LinkedIn,Corporate Life Insurance
Qualification,536706,2025-06-24,2025-09-02,20,Referral,Group Health Insurance
Proposal/Price Quote,49405,2025-06-23,2025-10-29,75,Web,Cyber Liability Insurance
Prospecting,25265,2025-04-04,2025-06-04,10,LinkedIn,Commercial Property
Prospecting,272364,2025-06-28,2025-10-05,10,Web,Fleet Auto Insurance
Value Proposition,44719,2025-05-13,2025-07-24,50,LinkedIn,Directors & Officers (D&O)
Proposal/Price Quote,86878,2025-08-16,2025-12-04,75,Partner,Commercial Property
Prospecting,74602,2025-04-26,2025-07-14,10,Web,Directors & Officers (D&O)
Negotiation/Review,76580,2025-08-11,2026-01-30,90,Partner,Group Health Insurance
Value Proposition,37609,2025-07-02,2025-08-04,50,Web,Fleet Auto Insurance
Value Proposition,53991,2025-07-23,2025-10-29,50,Partner,Commercial Property
Value Proposition,34165,2025-06-17,2025-11-30,50,Referral,Fleet Auto Insurance
Needs Analysis,28569,2025-01-26,2025-05-29,30,LinkedIn,Directors & Officers (D&O)
Qualification,199417,2025-07-20,2025-11-04,20,Referral,Fleet Auto Insurance
Value Proposition,1043837,2025-11-05,2025-12-26,50,Cold Call,Directors & Officers (D&O)
Prospecting,31633,2025-07-23,2025-12-02,10,Trade Show,Cyber Liability Insurance
Proposal/Price Quote,55195,2025-07-03,2025-08-28,75,Web,Pension Fund Management
Negotiation/Review,202607,2025-11-04,2026-02-22,90,Web,Pension Fund Management
Needs Analysis,155882,2025-09-25,2026-03-03,30,Cold Call,Group Health Insurance
Negotiation/Review,129298,2025-04-10,2025-05-23,90,Web,Corporate Life Insurance
Needs Analysis,104973,2025-01-18,2025-04-14,30,Referral,Corporate Life Insurance
Qualification,136370,2025-09-24,2025-12-18,20,Cold Call,Pension Fund Management
Negotiation/Review,1411570,2025-09-20,2026-02-16,90,Web,Cyber Liability Insurance
Negotiation/Review,1457873,2025-04-24,2025-08-23,90,Trade Show,Pension Fund Management
Needs Analysis,191883,2025-04-15,2025-10-04,30,Web,Commercial Property
Negotiation/Review,2766745,2025-02-19,2025-08-10,90,Web,Cyber Liability Insurance
Proposal/Price Quote,38989,2025-05-27,2025-08-05,75,Partner,Fleet Auto Insurance
Proposal/Price Quote,11232,2025-04-26,2025-06-05,75,Web,Pension Fund Management
Prospecting,47211,2025-05-18,2025-06-23,10,Referral,Corporate Life Insurance
Needs Analysis,164391,2025-06-08,2025-11-17,30,Trade Show,Cyber Liability Insurance
Negotiation/Review,493340,2025-07-17,2025-09-29,90,LinkedIn,Cyber Liability Insurance
Proposal/Price Quote,25685,2025-06-03,2025-09-01,75,LinkedIn,Fleet Auto Insurance
Proposal/Price Quote,147919,2025-06-19,2025-08-28,75,Referral,Group Health Insurance
Qualification,199353,2025-01-09,2025-02-15,20,Trade Show,Group Health Insurance
Prospecting,11990,2025-05-21,2025-06-21,10,Referral,Fleet Auto Insurance
Needs Analysis,764511,2025-01-06,2025-06-02,30,Cold Call,Fleet Auto Insurance
Qualification,92607,2025-10-14,2025-12-01,20,Partner,Group Health Insurance
Prospecting,577735,2025-01-18,2025-04-06,10,Cold Call,Pension Fund Management
Prospecting,54819,2025-09-20,2025-11-11,10,Cold Call,Directors & Officers (D&O)
Value Proposition,158093,2025-11-26,2026-01-31,50,Web,Fleet Auto Insurance
Needs Analysis,885971,2025-02-24,2025-07-04,30,LinkedIn,Group Health Insurance
Prospecting,176338,2025-05-07,2025-06-24,10,Trade Show,Group Health Insurance
Prospecting,483214,2025-11-06,2026-01-21,10,Cold Call,Pension Fund Management
Negotiation/Review,689717,2025-03-02,2025-05-20,90,Referral,Fleet Auto Insurance
Negotiation/Review,28701,2025-10-28,2026-02-26,90,Web,Directors & Officers (D&O)
Qualification,11552,2025-08-05,2025-10-29,20,Referral,Directors & Officers (D&O)
Prospecting,12567,2025-07-07,2025-08-27,10,Cold Call,Group Health Insurance
Proposal/Price Quote,101933,2025-05-20,2025-06-24,75,Cold Call,Directors & Officers (D&O)
Negotiation/Review,520982,2025-10-06,2026-02-25,90,Cold Call,Pension Fund Management
Needs Analysis,29605,2025-06-12,2025-08-02,30,Cold Call,Commercial Property
Qualification,33729,2025-10-21,2025-12-11,20,Partner,Fleet Auto Insurance
Value Proposition,171146,2025-08-12,2025-12-25,50,Partner,Cyber Liability Insurance
Needs Analysis,76817,2025-09-25,2025-10-29,30,Trade Show,Directors & Officers (D&O)
Needs Analysis,127345,2025-09-22,2026-02-06,30,Web,Fleet Auto Insurance
Negotiation/Review,30973,2025-08-29,2026-02-02,90,Trade Show,Corporate Life Insurance
Proposal/Price Quote,35258,2025-08-22,2025-10-10,75,Referral,Commercial Property
Needs Analysis,211949,2025-05-13,2025-06-13,30,Partner,Pension Fund Management
Value Proposition,7326,2025-08-21,2025-11-26,50,Cold Call,Group Health Insurance
Qualification,163902,2025-03-07,2025-06-07,20,Web,Fleet Auto Insurance
Prospecting,74106,2025-01-30,2025-06-11,10,Referral,Fleet Auto Insurance
Needs Analysis,7293,2025-07-17,2025-11-18,30,LinkedIn,Cyber Liability Insurance
Proposal/Price Quote,122131,2025-06-02,2025-11-12,75,Partner,Group Health Insurance
Negotiation/Review,49344,2025-07-24,2025-09-06,90,Web,Commercial Property
Proposal/Price Quote,64545,2025-08-20,2025-12-23,75,Partner,Group Health Insurance
Negotiation/Review,8739,2025-07-24,2025-11-26,90,Partner,Directors & Officers (D&O)
Needs Analysis,78386,2025-03-17,2025-08-08,30,Partner,Group Health Insurance
Negotiation/Review,358497,2025-11-11,2026-04-04,90,Web,Group Health Insurance
Prospecting,67882,2025-11-24,2026-03-26,10,Trade Show,Cyber Liability Insurance
Prospecting,510178,2025-07-10,2025-12-17,10,Trade Show,Group Health Insurance
Prospecting,37560,2025-06-03,2025-11-06,10,Cold Call,Fleet Auto Insurance
Negotiation/Review,44789,2025-08-29,2025-11-27,90,Cold Call,Cyber Liability Insurance
Needs Analysis,205181,2025-02-27,2025-07-18,30,Partner,Group Health Insurance
Qualification,22767,2025-04-08,2025-08-16,20,Web,Pension Fund Management
Value Proposition,255982,2025-04-17,2025-06-19,50,Trade Show,Corporate Life Insurance
Value Proposition,25831,2025-07-07,2025-09-29,50,Web,Corporate Life Insurance
Negotiation/Review,90780,2025-04-09,2025-09-13,90,LinkedIn,Cyber Liability Insurance
Needs Analysis,762403,2025-05-29,2025-09-30,30,Trade Show,Directors & Officers (D&O)
Needs Analysis,465577,2025-07-25,2026-01-03,30,Cold Call,Group Health Insurance
Prospecting,117582,2025-02-04,2025-04-25,10,Partner,Cyber Liability Insurance
Qualification,261839,2025-08-13,2025-10-28,20,Web,Pension Fund Management
Prospecting,279299,2025-02-13,2025-05-07,10,Referral,Fleet Auto Insurance
Prospecting,133515,2025-06-08,2025-11-14,10,Trade Show,Fleet Auto Insurance
Needs Analysis,98184,2025-06-30,2025-12-22,30,Cold Call,Directors & Officers (D&O)
Qualification,745083,2025-07-01,2025-11-12,20,Cold Call,Directors & Officers (D&O)
Negotiation/Review,581378,2025-10-04,2026-03-06,90,Cold Call,Corporate Life Insurance
Proposal/Price Quote,588491,2025-04-19,2025-06-05,75,Trade Show,Commercial Property
Negotiation/Review,11055,2025-02-20,2025-03-22,90,Cold Call,Cyber Liability Insurance
Negotiation/Review,27958,2025-07-15,2025-09-14,90,Web,Group Health Insurance
Value Proposition,8787,2025-08-04,2025-11-04,50,Partner,Corporate Life Insurance
Needs Analysis,385751,2025-04-28,2025-06-22,30,Web,Cyber Liability Insurance
Prospecting,1403841,2025-07-25,2025-08-26,10,Trade Show,Cyber Liability Insurance
Needs Analysis,567262,2025-04-06,2025-06-08,30,Trade Show,Directors & Officers (D&O)
Prospecting,785077,2025-01-22,2025-05-24,10,LinkedIn,Directors & Officers (D&O)
Negotiation/Review,881156,2025-03-19,2025-07-24,90,LinkedIn,Directors & Officers (D&O)
Qualification,25551,2025-05-26,2025-08-02,20,Trade Show,Group Health Insurance
Needs Analysis,127657,2025-09-13,2026-02-13,30,LinkedIn,Group Health Insurance
Negotiation/Review,26231,2025-06-02,2025-11-24,90,Referral,Corporate Life Insurance
Needs Analysis,128027,2025-02-25,2025-07-22,30,Trade Show,Fleet Auto Insurance
Prospecting,19293,2025-08-15,2025-12-05,10,Partner,Group Health Insurance
Qualification,168350,2025-06-13,2025-10-23,20,Cold Call,Corporate Life Insurance
Negotiation/Review,9225,2025-05-22,2025-07-16,90,Partner,Corporate Life Insurance
Negotiation/Review,51915,2025-03-05,2025-04-04,90,LinkedIn,Directors & Officers (D&O)
Needs Analysis,6857,2025-11-13,2026-05-08,30,Referral,Cyber Liability Insurance
Value Proposition,17068,2025-02-18,2025-04-20,50,Web,Directors & Officers (D&O)
Needs Analysis,12803,2025-10-31,2026-03-31,30,Referral,Directors & Officers (D&O)
Prospecting,14365,2025-02-19,2025-05-31,10,Web,Commercial Property
Proposal/Price Quote,161558,2025-02-16,2025-04-11,75,Cold Call,Fleet Auto Insurance
Needs Analysis,66028,2025-03-31,2025-07-21,30,Referral,Fleet Auto Insurance
Needs Analysis,28120,2025-11-04,2025-12-10,30,Trade Show,Corporate Life Insurance
Needs Analysis,38531,2025-04-22,2025-06-19,30,LinkedIn,Cyber Liability Insurance
Negotiation/Review,513380,2025-06-17,2025-09-05,90,Trade Show,Pension Fund Management
Proposal/Price Quote,73169,2025-09-18,2026-02-02,75,Partner,Cyber Liability Insurance
Qualification,48654,2025-03-11,2025-07-11,20,Cold Call,Group Health Insurance
Needs Analysis,36563,2025-09-26,2025-11-02,30,Cold Call,Group Health Insurance
Proposal/Price Quote,35397,2025-02-19,2025-04-30,75,Cold Call,Group Health Insurance
Qualification,48839,2025-11-08,2025-12-19,20,Trade Show,Fleet Auto Insurance
Proposal/Price Quote,96889,2025-08-05,2025-11-22,75,Referral,Fleet Auto Insurance
Qualification,158796,2025-02-02,2025-03-26,20,Referral,Commercial Property
Negotiation/Review,99091,2025-04-20,2025-05-30,90,Cold Call,Cyber Liability Insurance
Needs Analysis,70987,2025-06-21,2025-10-18,30,Web,Corporate Life Insurance
Needs Analysis,184646,2025-02-09,2025-06-16,30,Trade Show,Group Health Insurance
