Status,LeadSource,CreatedDate,AnnualRevenue,Sector,ProductInterest,State,IsConverted
Working,Web,2025-04-25,844589,FinTech,Pension Fund Management,Minas Gerais,0
Working,Referral,2025-06-02,1656403,Insurance,Corporate Life Insurance,Rio de Janeiro,0
Closed - Converted,Partner,2025-04-29,24698485,Financial Services,Corporate Life Insurance,Bahia,1
Working,LinkedIn,2025-02-01,246729,FinTech,Fleet Auto Insurance,Distrito Federal,0
New,Web,2025-07-30,3364628,Insurance,Directors & Officers (D&O),Rio Grande do Sul,0
New,Web,2025-08-15,4225545,Retail,Cyber Liability Insurance,Minas Gerais,0
Working,Trade Show,2025-04-18,29239405,Financial Services,Directors & Officers (D&O),Sao Paulo,0
Nurturing,Trade Show,2025-04-05,1740944,Financial Services,Fleet Auto Insurance,Rio de Janeiro,0
Closed - Converted,Cold Call,2025-01-31,4020783,Insurance,Directors & Officers (D&O),Sao Paulo,1
New,LinkedIn,2025-08-03,735052,Insurance,Fleet Auto Insurance,Sao Paulo,0
Working,Web,2025-02-15,646557,Insurance,Directors & Officers (D&O),Parana,0
New,Cold Call,2025-04-23,249487,Insurance,Group Health Insurance,Santa Catarina,0
Working,LinkedIn,2025-01-13,4850561,Financial Services,Corporate Life Insurance,Distrito Federal,0
Working,Partner,2025-01-03,36320053,Banking,Cyber Liability Insurance,Parana,0
New,Web,2025-07-31,2481755,Insurance,Directors & Officers (D&O),Parana,0
New,Web,2025-05-04,3711804,Insurance,Fleet Auto Insurance,Bahia,0
Working,Web,2025-02-19,1383172,Retail,Group Health Insurance,Rio de Janeiro,0
Working,Cold Call,2025-06-03,813577,FinTech,Fleet Auto Insurance,Bahia,0
Working,LinkedIn,2025-07-22,7223710,Financial Services,Fleet Auto Insurance,Distrito Federal,0
New,Web,2025-04-29,160726,Insurance,Fleet Auto Insurance,Rio Grande do Sul,0
Working,Referral,2025-10-10,4601848,Financial Services,Commercial Property,Distrito Federal,0
Working,Trade Show,2025-07-23,1381465,Insurance,Cyber Liability Insurance,Minas Gerais,0
Working,Partner,2025-08-06,148383,Healthcare,Pension Fund Management,Rio de Janeiro,0
Working,Web,2025-01-13,18636931,Financial Services,Directors & Officers (D&O),Bahia,0
Nurturing,Trade Show,2025-05-17,5635111,Financial Services,Fleet Auto Insurance,Parana,0
Working,Cold Call,2025-05-29,2065861,Insurance,Directors & Officers (D&O),Distrito Federal,0
Closed - Converted,LinkedIn,2025-11-12,1939820,Insurance,Pension Fund Management,Santa Catarina,1
Closed - Converted,Cold Call,2025-07-31,16506152,Banking,Cyber Liability Insurance,Parana,1
New,LinkedIn,2025-04-17,2444588,Insurance,Pension Fund Management,Santa Catarina,0
Working,Cold Call,2025-02-05,30431103,Financial Services,Cyber Liability Insurance,Santa Catarina,0
Closed - Converted,Referral,2025-04-06,14085247,Banking,Cyber Liability Insurance,Rio Grande do Sul,1
Closed - Not Converted,Web,2025-06-09,418520,Healthcare,Directors & Officers (D&O),Minas Gerais,0
Working,Partner,2025-11-08,596718,Insurance,Cyber Liability Insurance,Bahia,0
Closed - Not Converted,Referral,2025-10-23,4163657,Financial Services,Group Health Insurance,Rio de Janeiro,0
Closed - Converted,Referral,2025-08-25,547380,Insurance,Commercial Property,Bahia,1
Working,Partner,2025-05-13,10455564,Financial Services,Pension Fund Management,Rio Grande do Sul,0
New,Cold Call,2025-11-20,242247,Insurance,Fleet Auto Insurance,Sao Paulo,0
New,Cold Call,2025-05-27,7430967,Financial Services,Corporate Life Insurance,Santa Catarina,0
New,Cold Call,2025-07-03,3017918,Healthcare,Cyber Liability Insurance,Rio de Janeiro,0
New,Partner,2025-01-18,77416307,Financial Services,Corporate Life Insurance,Minas Gerais,0
Closed - Converted,LinkedIn,2025-06-07,1193849,Healthcare,Cyber Liability Insurance,Santa Catarina,1
Closed - Not Converted,Web,2025-03-27,833906,Insurance,Group Health Insurance,Rio de Janeiro,0
New,Web,2025-08-22,13552930,Banking,Commercial Property,Minas Gerais,0
New,Partner,2025-05-19,3178098,Financial Services,Group Health Insurance,Rio Grande do Sul,0
Nurturing,LinkedIn,2025-11-10,5344989,Banking,Corporate Life Insurance,Rio de Janeiro,0
Closed - Converted,LinkedIn,2025-01-28,1256269,Insurance,Cyber Liability Insurance,Distrito Federal,1
New,Referral,2025-10-10,5109072,Financial Services,Corporate Life Insurance,Rio Grande do Sul,0
Closed - Converted,Partner,2025-08-09,2476798,Insurance,Pension Fund Management,Bahia,1
New,Cold Call,2025-06-18,14429234,Financial Services,Group Health Insurance,Distrito Federal,0
Closed - Converted,Web,2025-03-30,1793229,Financial Services,Cyber Liability Insurance,Minas Gerais,1
Closed - Converted,Cold Call,2025-11-16,7520515,Financial Services,Cyber Liability Insurance,Bahia,1
Working,Referral,2025-02-06,10786580,Financial Services,Group Health Insurance,Sao Paulo,0
Working,Web,2025-06-23,2201627,Insurance,Cyber Liability Insurance,Rio de Janeiro,0
New,Cold Call,2025-01-19,104470122,Financial Services,Commercial Property,Distrito Federal,0
Nurturing,LinkedIn,2025-10-11,11694350,Financial Services,Commercial Property,Santa Catarina,0
New,Web,2025-02-10,21581709,Banking,Group Health Insurance,Rio Grande do Sul,0
New,Web,2025-02-06,39004860,Banking,Fleet Auto Insurance,Minas Gerais,0
Closed - Not Converted,Trade Show,2025-11-16,228381,FinTech,Corporate Life Insurance,Santa Catarina,0
Closed - Converted,Partner,2025-01-13,20251928,Banking,Group Health Insurance,Rio Grande do Sul,1
Working,Referral,2025-06-19,3828198,Banking,Group Health Insurance,Sao Paulo,0
New,Partner,2025-03-14,45641704,Financial Services,Corporate Life Insurance,Santa Catarina,0
Working,Partner,2025-08-03,912425,Insurance,Corporate Life Insurance,Bahia,0
Working,Cold Call,2025-01-06,20642881,Financial Services,Fleet Auto Insurance,Rio Grande do Sul,0
New,Referral,2025-06-04,1863355,Banking,Directors & Officers (D&O),Minas Gerais,0
New,Cold Call,2025-04-15,4230543,Financial Services,Commercial Property,Minas Gerais,0
New,Trade Show,2025-01-24,13197045,Banking,Cyber Liability Insurance,Santa Catarina,0
New,Referral,2025-09-24,24125244,Financial Services,Group Health Insurance,Distrito Federal,0
Closed - Converted,Trade Show,2025-10-01,3563388,FinTech,Cyber Liability Insurance,Distrito Federal,1
Closed - Not Converted,LinkedIn,2025-04-21,9525422,Banking,Fleet Auto Insurance,Rio Grande do Sul,0
Working,LinkedIn,2025-03-25,5693348,Insurance,Pension Fund Management,Distrito Federal,0
Working,LinkedIn,2025-03-21,5681970,Insurance,Group Health Insurance,Rio Grande do Sul,0
Closed - Converted,Cold Call,2025-03-29,13190729,Financial Services,Fleet Auto Insurance,Parana,1
Closed - Converted,Web,2025-10-12,128762183,Financial Services,Group Health Insurance,Parana,1
Nurturing,Trade Show,2025-07-21,970664,FinTech,Group Health Insurance,Parana,0
New,Trade Show,2025-01-13,402586,Insurance,Directors & Officers (D&O),Rio de Janeiro,0
Closed - Converted,Trade Show,2025-08-09,2430847,Banking,Directors & Officers (D&O),Rio Grande do Sul,1
New,Web,2025-10-18,2833673,FinTech,Commercial Property,Minas Gerais,0
Working,Trade Show,2025-07-16,16615331,Banking,Corporate Life Insurance,Parana,0
Nurturing,Cold Call,2025-06-16,5135224,Financial Services,Corporate Life Insurance,Rio de Janeiro,0
Working,Web,2025-09-10,19431273,Financial Services,Corporate Life Insurance,Santa Catarina,0
Closed - Converted,Cold Call,2025-01-25,355378,Healthcare,Pension Fund Management,Rio Grande do Sul,1
Closed - Not Converted,Partner,2025-11-08,2339139,Insurance,Corporate Life Insurance,Rio Grande do Sul,0
New,Web,2025-05-29,747864,Insurance,Group Health Insurance,Rio de Janeiro,0
New,Trade Show,2025-06-09,5246735,Financial Services,Commercial Property,Sao Paulo,0
Working,Web,2025-10-19,833747,Insurance,Group Health Insurance,Minas Gerais,0
Working,Web,2025-06-20,4297090,Financial Services,Group Health Insurance,Minas Gerais,0
Closed - Converted,Cold Call,2025-09-03,1952784,FinTech,Group Health Insurance,Minas Gerais,1
Closed - Not Converted,Trade Show,2025-05-23,2871998,Financial Services,Commercial Property,Minas Gerais,0
Closed - Not Converted,Referral,2025-04-17,3369624,Banking,Pension Fund Management,Bahia,0
New,Referral,2025-09-30,323446,FinTech,Fleet Auto Insurance,Distrito Federal,0
New,LinkedIn,2025-10-03,12072136,Financial Services,Fleet Auto Insurance,Sao Paulo,0
New,Web,2025-08-01,1799643,Retail,Group Health Insurance,Minas Gerais,0
New,Web,2025-03-02,5658002,Banking,Fleet Auto Insurance,Distrito Federal,0
New,Partner,2025-11-04,292033,Insurance,Group Health Insurance,Minas Gerais,0
Closed - Converted,LinkedIn,2025-04-22,104021839,Financial Services,Cyber Liability Insurance,Sao Paulo,1
Working,LinkedIn,2025-06-06,4518124,Financial Services,Fleet Auto Insurance,Minas Gerais,0
Closed - Not Converted,Partner,2025-06-27,1584761,Insurance,Cyber Liability Insurance,Santa Catarina,0
Closed - Converted,LinkedIn,2025-03-04,226545,Insurance,Corporate Life Insurance,Sao Paulo,1
Nurturing,Referral,2025-06-29,369447,Insurance,Pension Fund Management,Minas Gerais,0
New,LinkedIn,2025-03-16,9683993,Financial Services,Cyber Liability Insurance,Minas Gerais,0
Closed - Converted,Cold Call,2025-11-10,18288212,Banking,Fleet Auto Insurance,Sao Paulo,1
Nurturing,LinkedIn,2025-10-22,2395170,Financial Services,Cyber Liability Insurance,Minas Gerais,0
Working,Partner,2025-08-07,1666370,Insurance,Cyber Liability Insurance,Sao Paulo,0
New,Partner,2025-03-26,1827354,Retail,Directors & Officers (D&O),Distrito Federal,0
New,LinkedIn,2025-04-14,76992016,Financial Services,Fleet Auto Insurance,Rio Grande do Sul,0
Nurturing,Cold Call,2025-11-26,1565806,Retail,Commercial Property,Distrito Federal,0
Nurturing,Trade Show,2025-10-12,3396146,Insurance,Commercial Property,Sao Paulo,0
New,LinkedIn,2025-02-08,2358280,Insurance,Corporate Life Insurance,Sao Paulo,0
Working,Trade Show,2025-07-04,81195718,Financial Services,Pension Fund Management,Minas Gerais,0
Working,Cold Call,2025-03-18,17138677,Financial Services,Directors & Officers (D&O),Minas Gerais,0
New,Cold Call,2025-04-23,49065824,Banking,Pension Fund Management,Distrito Federal,0
Nurturing,Partner,2025-10-01,594040,Insurance,Cyber Liability Insurance,Bahia,0
Closed - Converted,Web,2025-06-12,40041066,Banking,Commercial Property,Minas Gerais,1
Working,Trade Show,2025-03-06,396328,Insurance,Fleet Auto Insurance,Distrito Federal,0
New,Cold Call,2025-02-12,6586670,Banking,Cyber Liability Insurance,Sao Paulo,0
New,LinkedIn,2025-06-05,254424,Insurance,Fleet Auto Insurance,Sao Paulo,0
Working,Referral,2025-07-26,8037157,Insurance,Corporate Life Insurance,Rio Grande do Sul,0
New,LinkedIn,2025-02-07,291688,FinTech,Commercial Property,Distrito Federal,0
Nurturing,Cold Call,2025-09-27,1473859,Retail,Pension Fund Management,Bahia,0
New,LinkedIn,2025-03-11,13496178,Financial Services,Commercial Property,Sao Paulo,0
Working,Partner,2025-03-30,3635374,Financial Services,Corporate Life Insurance,Distrito Federal,0
Working,Web,2025-03-10,3613848,FinTech,Fleet Auto Insurance,Bahia,0
Working,Web,2025-05-15,3804701,Insurance,Commercial Property,Parana,0
Working,Partner,2025-06-02,7904716,Financial Services,Group Health Insurance,Santa Catarina,0
New,Trade Show,2025-08-09,1055680,Healthcare,Cyber Liability Insurance,Rio de Janeiro,0
Closed - Converted,Partner,2025-08-04,3582903,Insurance,Pension Fund Management,Rio de Janeiro,1
Nurturing,Referral,2025-05-12,18424519,Financial Services,Directors & Officers (D&O),Rio de Janeiro,0
Working,Cold Call,2025-05-20,2159574,Financial Services,Directors & Officers (D&O),Parana,0
Working,Trade Show,2025-01-18,929539,FinTech,Cyber Liability Insurance,Sao Paulo,0
Closed - Not Converted,Referral,2025-06-25,11831960,Financial Services,Cyber Liability Insurance,Bahia,0
Nurturing,Cold Call,2025-08-05,8346897,Financial Services,Commercial Property,Distrito Federal,0
Closed - Converted,LinkedIn,2025-02-24,11712852,Financial Services,Cyber Liability Insurance,Parana,1
Working,Trade Show,2025-06-12,399446,Healthcare,Corporate Life Insurance,Bahia,0
Closed - Converted,Trade Show,2025-11-13,914895,Healthcare,Fleet Auto Insurance,Santa Catarina,1
New,Cold Call,2025-11-22,13876922,Financial Services,Pension Fund Management,Distrito Federal,0
Closed - Not Converted,Web,2025-01-11,89588238,Financial Services,Commercial Property,Minas Gerais,0
New,Trade Show,2025-01-31,1662995,Healthcare,Directors & Officers (D&O),Minas Gerais,0
Nurturing,LinkedIn,2025-06-27,4608105,Financial Services,Group Health Insurance,Rio de Janeiro,0
New,LinkedIn,2025-05-14,3942595,Financial Services,Pension Fund Management,Parana,0
Closed - Converted,LinkedIn,2025-10-29,6672829,Financial Services,Group Health Insurance,Minas Gerais,1
Closed - Converted,Web,2025-10-02,1756857,Financial Services,Cyber Liability Insurance,Rio Grande do Sul,1
Working,Cold Call,2025-02-16,4560976,Financial Services,Fleet Auto Insurance,Minas Gerais,0
Working,Referral,2025-10-10,2075887,Financial Services,Pension Fund Management,Bahia,0
New,Partner,2025-10-21,35187242,Financial Services,Fleet Auto Insurance,Parana,0
New,Web,2025-08-16,798985,FinTech,Corporate Life Insurance,Santa Catarina,0
Closed - Converted,Cold Call,2025-01-28,917358,Insurance,Cyber Liability Insurance,Minas Gerais,1
New,Web,2025-07-03,4100230,FinTech,Commercial Property,Minas Gerais,0
Nurturing,Referral,2025-11-11,3304086,Insurance,Cyber Liability Insurance,Distrito Federal,0
Working,Web,2025-06-01,687170,Insurance,Pension Fund Management,Distrito Federal,0
Working,Referral,2025-02-25,9106119,Financial Services,Corporate Life Insurance,Parana,0
Closed - Converted,Cold Call,2025-05-03,1018091,FinTech,Directors & Officers (D&O),Sao Paulo,1
Closed - Converted,Cold Call,2025-03-11,6366921,Financial Services,Commercial Property,Parana,1
New,LinkedIn,2025-07-27,696033,Healthcare,Commercial Property,Minas Gerais,0
New,Web,2025-02-01,10366634,Financial Services,Directors & Officers (D&O),Rio Grande do Sul,0
Working,Referral,2025-01-18,2529653,FinTech,Corporate Life Insurance,Sao Paulo,0
Working,Cold Call,2025-07-07,421798,Insurance,Group Health Insurance,Parana,0
Working,Referral,2025-05-28,310464,Insurance,Corporate Life Insurance,Rio de Janeiro,0
Closed - Converted,Trade Show,2025-09-18,13168189,Financial Services,Directors & Officers (D&O),Santa Catarina,1
Closed - Not Converted,Partner,2025-03-18,1726511,Retail,Group Health Insurance,Santa Catarina,0
Closed - Not Converted,LinkedIn,2025-08-20,8144286,Insurance,Directors & Officers (D&O),Minas Gerais,0
Closed - Converted,Web,2025-01-11,5668669,FinTech,Pension Fund Management,Santa Catarina,1
Closed - Converted,Referral,2025-07-26,1332874,Insurance,Group Health Insurance,Sao Paulo,1
Working,Cold Call,2025-01-19,4180271,Financial Services,Fleet Auto Insurance,Parana,0
Closed - Converted,Partner,2025-05-26,7446839,Financial Services,Pension Fund Management,Parana,1
Closed - Converted,Cold Call,2025-01-24,482410,Insurance,Corporate Life Insurance,Distrito Federal,1
Working,Web,2025-04-15,4472717,Financial Services,Commercial Property,Bahia,0
Closed - Converted,Cold Call,2025-07-15,1150643,Banking,Commercial Property,Sao Paulo,1
Closed - Converted,Partner,2025-10-29,12325883,Financial Services,Corporate Life Insurance,Rio Grande do Sul,1
New,Partner,2025-02-15,34760007,Financial Services,Cyber Liability Insurance,Rio de Janeiro,0
Working,Partner,2025-04-09,10681117,Financial Services,Commercial Property,Bahia,0
Closed - Converted,Partner,2025-09-21,3003380,Financial Services,Group Health Insurance,Bahia,1
Working,Cold Call,2025-08-19,3762308,Financial Services,Pension Fund Management,Minas Gerais,0
Closed - Not Converted,Referral,2025-04-22,2656973,Insurance,Fleet Auto Insurance,Distrito Federal,0
Nurturing,LinkedIn,2025-08-06,5599792,Financial Services,Fleet Auto Insurance,Rio de Janeiro,0
Nurturing,Web,2025-11-19,16826471,Insurance,Directors & Officers (D&O),Santa Catarina,0
New,LinkedIn,2025-08-08,1007393,Insurance,Pension Fund Management,Sao Paulo,0
Working,Web,2025-06-20,4960160,Financial Services,Fleet Auto Insurance,Rio Grande do Sul,0
Closed - Converted,LinkedIn,2025-05-28,11707991,Financial Services,Group Health Insurance,Minas Gerais,1
Working,Web,2025-07-07,1163316,Insurance,Corporate Life Insurance,Bahia,0
New,Cold Call,2025-04-23,474259,Insurance,Commercial Property,Sao Paulo,0
Working,Web,2025-06-19,1577431,Insurance,Pension Fund Management,Santa Catarina,0
Working,Cold Call,2025-05-29,12773220,Financial Services,Directors & Officers (D&O),Distrito Federal,0
Closed - Converted,Trade Show,2025-05-10,759990,Retail,Group Health Insurance,Parana,1
Working,Referral,2025-08-05,507568,Insurance,Directors & Officers (D&O),Sao Paulo,0
New,Referral,2025-06-04,568466,Retail,Commercial Property,Parana,0
Nurturing,LinkedIn,2025-10-27,8244218,Banking,Directors & Officers (D&O),Minas Gerais,0
Nurturing,Trade Show,2025-07-27,17623018,Financial Services,Corporate Life Insurance,Bahia,0
Working,Trade Show,2025-06-01,13300921,Banking,Directors & Officers (D&O),Parana,0
Working,Trade Show,2025-11-24,23201208,FinTech,Pension Fund Management,Santa Catarina,0
New,Cold Call,2025-01-16,10451911,Financial Services,Commercial Property,Minas Gerais,0
Closed - Not Converted,Referral,2025-08-20,2215419,Insurance,Commercial Property,Santa Catarina,0
Closed - Not Converted,Cold Call,2025-10-10,4035655,Financial Services,Fleet Auto Insurance,Bahia,0
Closed - Converted,Trade Show,2025-01-22,14515731,Financial Services,Cyber Liability Insurance,Minas Gerais,1
New,Trade Show,2025-08-16,1943352,Insurance,Group Health Insurance,Distrito Federal,0
Closed - Converted,Cold Call,2025-08-03,5191700,Banking,Commercial Property,Parana,1
Closed - Converted,Partner,2025-08-11,2551657,Insurance,Directors & Officers (D&O),Distrito Federal,1
Closed - Converted,Web,2025-06-02,275899,Healthcare,Corporate Life Insurance,Santa Catarina,1
Closed - Converted,Trade Show,2025-03-17,352018,Healthcare,Commercial Property,Sao Paulo,1
Closed - Converted,LinkedIn,2025-10-15,8940772,Financial Services,Cyber Liability Insurance,Minas Gerais,1
Working,Partner,2025-01-03,1491811,Financial Services,Fleet Auto Insurance,Rio Grande do Sul,0
Working,Trade Show,2025-07-16,96772271,Banking,Corporate Life Insurance,Distrito Federal,0
Closed - Converted,Cold Call,2025-07-05,531146,Insurance,Cyber Liability Insurance,Rio de Janeiro,1
Nurturing,Partner,2025-02-22,26053478,Financial Services,Cyber Liability Insurance,Minas Gerais,0
Closed - Converted,Cold Call,2025-03-08,800319,Insurance,Commercial Property,Rio Grande do Sul,1
Closed - Not Converted,Referral,2025-09-14,6873172,Financial Services,Pension Fund Management,Parana,0
Working,Partner,2025-10-14,2541405,Financial Services,Group Health Insurance,Rio Grande do Sul,0
Closed - Converted,Trade Show,2025-11-11,71359242,Banking,Group Health Insurance,Sao Paulo,1
Working,LinkedIn,2025-07-17,11566187,Financial Services,Cyber Liability Insurance,Distrito Federal,0
Closed - Converted,Partner,2025-03-22,7139163,Financial Services,Corporate Life Insurance,Bahia,1
Working,Cold Call,2025-10-20,1968037,Financial Services,Commercial Property,Distrito Federal,0
Closed - Converted,Web,2025-02-10,53583682,Financial Services,Cyber Liability Insurance,Rio Grande do Sul,1
Working,Referral,2025-08-12,7843348,Insurance,Fleet Auto Insurance,Sao Paulo,0
Closed - Not Converted,Trade Show,2025-07-06,1921327,Insurance,Pension Fund Management,Sao Paulo,0
New,Trade Show,2025-01-14,8924828,Financial Services,Fleet Auto Insurance,Rio Grande do Sul,0
Closed - Not Converted,Referral,2025-07-16,2041878,Financial Services,Group Health Insurance,Rio de Janeiro,0
New,Cold Call,2025-09-06,5411727,Banking,Cyber Liability Insurance,Bahia,0
Closed - Not Converted,Web,2025-10-12,6089608,Insurance,Cyber Liability Insurance,Bahia,0
Closed - Converted,Trade Show,2025-08-18,13600011,Financial Services,Cyber Liability Insurance,Bahia,1
Working,Cold Call,2025-03-17,13304318,Financial Services,Commercial Property,Rio de Janeiro,0
New,Cold Call,2025-11-20,5566536,Financial Services,Directors & Officers (D&O),Minas Gerais,0
Working,Trade Show,2025-09-09,4314680,Financial Services,Directors & Officers (D&O),Parana,0
New,Web,2025-06-04,54337438,Financial Services,Directors & Officers (D&O),Sao Paulo,0
Closed - Converted,Cold Call,2025-01-10,13728518,Insurance,Pension Fund Management,Sao Paulo,1
New,Referral,2025-03-13,4705209,Financial Services,Cyber Liability Insurance,Minas Gerais,0
Closed - Not Converted,Cold Call,2025-03-01,31438267,Financial Services,Group Health Insurance,Rio Grande do Sul,0
Closed - Converted,Cold Call,2025-02-17,5634731,Financial Services,Group Health Insurance,Minas Gerais,1
New,Trade Show,2025-01-22,417337,FinTech,Cyber Liability Insurance,Bahia,0
Working,Trade Show,2025-09-25,1745556,FinTech,Cyber Liability Insurance,Parana,0
Closed - Converted,LinkedIn,2025-04-10,5356001,Financial Services,Group Health Insurance,Minas Gerais,1
Working,Cold Call,2025-06-03,203768,FinTech,Directors & Officers (D&O),Distrito Federal,0
Closed - Converted,Partner,2025-01-12,1437871,FinTech,Fleet Auto Insurance,Sao Paulo,1
Closed - Not Converted,Trade Show,2025-11-26,222536,Insurance,Corporate Life Insurance,Sao Paulo,0
Closed - Converted,Web,2025-10-22,605601,Insurance,Directors & Officers (D&O),Rio Grande do Sul,1
Closed - Not Converted,Cold Call,2025-09-13,1267215,Financial Services,Fleet Auto Insurance,Bahia,0
Working,Partner,2025-07-16,2895710,Insurance,Commercial Property,Santa Catarina,0
Working,Cold Call,2025-03-11,1288831,Insurance,Group Health Insurance,Santa Catarina,0
Working,Web,2025-08-23,2897741,Financial Services,Commercial Property,Rio de Janeiro,0
New,Referral,2025-03-30,423903,Insurance,Group Health Insurance,Santa Catarina,0
New,Referral,2025-07-23,4249280,Financial Services,Pension Fund Management,Rio Grande do Sul,0
Closed - Converted,Partner,2025-09-28,1172815,FinTech,Commercial Property,Minas Gerais,1
Nurturing,Referral,2025-03-28,4205220,Insurance,Commercial Property,Minas Gerais,0
Working,Cold Call,2025-04-03,2750022,Insurance,Directors & Officers (D&O),Rio de Janeiro,0
Working,Referral,2025-03-02,260008,Insurance,Group Health Insurance,Bahia,0
Closed - Converted,LinkedIn,2025-05-27,3923636,Financial Services,Corporate Life Insurance,Santa Catarina,1
Closed - Not Converted,Referral,2025-01-06,627826,Retail,Cyber Liability Insurance,Bahia,0
New,LinkedIn,2025-10-28,2123585,FinTech,Directors & Officers (D&O),Minas Gerais,0
Closed - Converted,Referral,2025-04-30,6467425,Retail,Directors & Officers (D&O),Sao Paulo,1
Working,Partner,2025-07-16,1416679,Insurance,Cyber Liability Insurance,Santa Catarina,0
Closed - Not Converted,Partner,2025-10-21,294509,FinTech,Cyber Liability Insurance,Rio de Janeiro,0
Nurturing,Cold Call,2025-03-12,9014716,Financial Services,Directors & Officers (D&O),Bahia,0
Nurturing,LinkedIn,2025-07-07,31103087,Financial Services,Fleet Auto Insurance,Bahia,0
Nurturing,Web,2025-05-26,2423177,Financial Services,Cyber Liability Insurance,Rio Grande do Sul,0
New,Web,2025-02-17,10545170,Financial Services,Cyber Liability Insurance,Parana,0
Closed - Converted,Trade Show,2025-10-23,18276548,Financial Services,Pension Fund Management,Distrito Federal,1
Working,Trade Show,2025-02-13,13440373,Financial Services,Fleet Auto Insurance,Sao Paulo,0
Closed - Converted,Partner,2025-01-02,1588022,Banking,Commercial Property,Sao Paulo,1
Working,Trade Show,2025-05-29,40831078,Banking,Directors & Officers (D&O),Minas Gerais,0
Closed - Not Converted,Partner,2025-08-11,2673230,Insurance,Directors & Officers (D&O),Sao Paulo,0
Working,Referral,2025-01-07,3481089,Financial Services,Directors & Officers (D&O),Rio de Janeiro,0
New,Cold Call,2025-10-23,460903,Insurance,Commercial Property,Rio de Janeiro,0
New,Trade Show,2025-07-21,1236574,Insurance,Directors & Officers (D&O),Minas Gerais,0
Working,Trade Show,2025-06-25,3776498,Insurance,Group Health Insurance,Distrito Federal,0
New,LinkedIn,2025-10-29,24294394,Banking,Commercial Property,Distrito Federal,0
New,Web,2025-08-28,11672644,Banking,Pension Fund Management,Bahia,0
Closed - Converted,Cold Call,2025-05-20,1819408,FinTech,Commercial Property,Bahia,1
Working,LinkedIn,2025-06-11,3198009,Financial Services,Group Health Insurance,Distrito Federal,0
Working,Trade Show,2025-09-21,8551058,Financial Services,Commercial Property,Rio de Janeiro,0
Nurturing,Referral,2025-08-17,2766985,Financial Services,Fleet Auto Insurance,Minas Gerais,0
New,Cold Call,2025-01-18,891032,Insurance,Directors & Officers (D&O),Distrito Federal,0
Working,Web,2025-11-09,1046576,Insurance,Corporate Life Insurance,Distrito Federal,0
Working,Trade Show,2025-04-06,19687588,Financial Services,Directors & Officers (D&O),Distrito Federal,0
Closed - Converted,Cold Call,2025-09-20,2075883,Insurance,Commercial Property,Rio Grande do Sul,1
Closed - Not Converted,Web,2025-04-17,5711724,Banking,Pension Fund Management,Santa Catarina,0
New,Web,2025-09-25,1900475,Healthcare,Fleet Auto Insurance,Rio de Janeiro,0
New,Trade Show,2025-01-12,409088,Insurance,Corporate Life Insurance,Bahia,0
Working,Partner,2025-06-21,42411301,Financial Services,Commercial Property,Rio Grande do Sul,0
Working,Trade Show,2025-03-03,1675030,FinTech,Pension Fund Management,Bahia,0
New,LinkedIn,2025-07-13,7203722,Insurance,Cyber Liability Insurance,Distrito Federal,0
Working,Referral,2025-05-16,3754921,Banking,Cyber Liability Insurance,Rio Grande do Sul,0
New,LinkedIn,2025-10-09,9179388,Insurance,Corporate Life Insurance,Minas Gerais,0
New,LinkedIn,2025-10-28,10060053,Banking,Directors & Officers (D&O),Distrito Federal,0
Closed - Converted,Trade Show,2025-06-26,2503387,Insurance,Pension Fund Management,Parana,1
Nurturing,Cold Call,2025-05-09,260611,Insurance,Directors & Officers (D&O),Santa Catarina,0
Nurturing,Partner,2025-03-16,754467,FinTech,Commercial Property,Sao Paulo,0
New,Cold Call,2025-09-05,4332610,Insurance,Pension Fund Management,Rio de Janeiro,0
New,Trade Show,2025-04-12,7684367,Financial Services,Fleet Auto Insurance,Distrito Federal,0
Closed - Converted,Trade Show,2025-02-26,856776,Healthcare,Fleet Auto Insurance,Parana,1
New,Referral,2025-06-10,28841258,Financial Services,Cyber Liability Insurance,Sao Paulo,0
New,LinkedIn,2025-08-28,572995,Retail,Fleet Auto Insurance,Bahia,0
Working,Web,2025-08-04,3238993,Insurance,Corporate Life Insurance,Distrito Federal,0
Closed - Not Converted,Trade Show,2025-11-27,1030070,Healthcare,Cyber Liability Insurance,Rio Grande do Sul,0
New,Partner,2025-06-09,7349066,Financial Services,Pension Fund Management,Rio de Janeiro,0
Working,LinkedIn,2025-09-25,58132350,Banking,Group Health Insurance,Rio de Janeiro,0
Closed - Not Converted,Partner,2025-09-02,2825755,Insurance,Pension Fund Management,Santa Catarina,0
Closed - Not Converted,Trade Show,2025-01-15,11684936,Financial Services,Directors & Officers (D&O),Distrito Federal,0
New,Cold Call,2025-10-31,19327743,Financial Services,Corporate Life Insurance,Rio Grande do Sul,0
Working,LinkedIn,2025-03-12,1102846,FinTech,Fleet Auto Insurance,Santa Catarina,0
Nurturing,Web,2025-03-29,38636730,Financial Services,Commercial Property,Minas Gerais,0
New,Trade Show,2025-03-08,3982785,Insurance,Directors & Officers (D&O),Bahia,0
New,LinkedIn,2025-05-05,10669639,Financial Services,Directors & Officers (D&O),Sao Paulo,0
Working,Web,2025-09-22,4101051,Financial Services,Fleet Auto Insurance,Santa Catarina,0
Closed - Not Converted,Cold Call,2025-01-25,918374,Retail,Group Health Insurance,Minas Gerais,0
